# Scenario for tools/trace_ab.sh -- drives the Send Message windows.
#
# Replayed with XASTIR_REPLAY, which is the File > Open Log File path without a
# human.  Lines starting with '#' are skipped by read_file_line().
#
# The configured callsign is WZ1EEE-10 (tools/snapshot/snap.cnf), which is
# exactly the 9 characters an APRS addressee field wants, so no padding.
# Receiving a message addressed to it calls check_popup_window(call, 2), which
# opens a Send Message window and calls update_messages() -- that is the whole
# point, and the only way to reach that code without clicking.
#
# Position beacons first so the stations exist before they talk.

N7XYZ-1>APX200,WIDE2-2:=4726.00N/12212.00W-Test station one
KD7ABC>APX200,WIDE2-2:=4728.50N/12215.30W-Test station two

# Two messages from the same station: the second must append below the first,
# in time order, in the window opened by the first.

N7XYZ-1>APX200,WIDE2-2::WZ1EEE-10:First message from N7XYZ{001
N7XYZ-1>APX200,WIDE2-2::WZ1EEE-10:Second message from N7XYZ{002

# A different station: a second window, so win= is not always 0 and a change
# that confuses one window for another shows up.

KD7ABC>APX200,WIDE2-2::WZ1EEE-10:Hello from KD7ABC{003

# Characters that make a naive trace record unreadable or ambiguous -- the
# quoting in xa_trace_quote() is what these are here to exercise.

N7XYZ-1>APX200,WIDE2-2::WZ1EEE-10:Quote " and backslash \ here{004
KD7ABC>APX200,WIDE2-2::WZ1EEE-10:Tab	separated	fields{005

# A third station, and a longer body, so the highlight offsets are not all the
# same small numbers.

W1AW-9>APX200,WIDE2-2:=4230.00N/07200.00W-Test station three
W1AW-9>APX200,WIDE2-2::WZ1EEE-10:A considerably longer message body so that the highlight from/to offsets differ{006

# Back to the first station, after the others, so the time-sorted insertion in
# update_messages() has to interleave rather than append to the newest window.

N7XYZ-1>APX200,WIDE2-2::WZ1EEE-10:Third message from N7XYZ{007

# Traffic addressed to someone other than us.  Messages to our own callsign go
# down the "to me" branch in db.c and never reach look_for_open_group_data();
# this one does, and does it with windows already open, which is what makes the
# scan record anything.  Addressee fields are padded to the 9 characters APRS
# wants.

KD7ABC>APX200,WIDE2-2::N7XYZ-1  :Message between two other stations{008

# A group message.  group_build_list() always listens for XASTIR, so this is a
# group we are in without needing a groups file.

W1AW-9>APX200,WIDE2-2::XASTIR   :Group message to XASTIR{009

# A message that appears to come FROM our own callsign.  This is the only way a
# receive-only replay reaches the reverse-video highlight: update_messages()
# picks it by `acked == 0 && is_my_call(from_call_sign)`, which normally means
# a message we sent and that has not been acked yet.  Outgoing messages only
# enter the store when they are actually transmitted, and a scripted run has no
# transmit-capable interface, so replaying one is the cheap way in.

WZ1EEE-10>APX200,WIDE2-2::N7XYZ-1  :Unacked reply from us{010
